lsoa,imd_score
E01000754,5.117
E01000755,3.347
E01000756,4.46
E01000757,0.89
E01000758,2.359
E01000759,4.328
E01000760,8.654
E01000761,2.881
E01000762,5.808
E01000763,2.689
E01000764,12.239
E01000765,7.735
E01000766,1.149
E01000767,2.162
E01000768,6.434
E01000769,20.739
E01000770,4.129
E01000771,4.29
E01000772,3.399
E01000773,2.933
E01000774,9.652
E01000775,7.29
E01000777,4.276
E01000778,12.5
E01000779,13.444
E01000780,21.705
E01000781,32.858
E01000782,37.231
E01000783,32.518
E01000784,9.069
E01000785,27.947
E01000786,7.965
E01000787,21.496
E01000788,14.284
E01000789,47.284
E01000790,13.187
E01000791,8.546
E01000792,16.282
E01000793,1.888
E01000794,1.801
E01000795,13.338
E01000796,39.999
E01000797,13.853
E01000798,37.54
E01000799,24.368
E01000800,27.317
E01000801,19.021
E01000802,16.435
E01000803,15.901
E01000804,6.135
E01000805,22.878
E01000806,31.96
E01000807,8.578
E01000808,3.452
E01000809,1.693
E01000810,0.735
E01000811,2.398
E01000812,9.505
E01000813,3.001
E01000814,1.508
E01000815,1.365
E01000816,12.283
E01000818,6.049
E01000819,25.54
E01000820,20.189
E01000822,16.608
E01000823,12.18
E01000824,15.73
E01000825,14.924
E01000826,1.5
E01000827,6.07
E01000828,9.09
E01000829,6.232
E01000830,2.107
E01000831,4.903
E01000832,4.363
E01000833,2.102
E01000834,2.236
E01000835,11.279
E01000836,1.924
E01000837,9.29
E01000838,3.043
E01000839,2.17
E01000840,5.699
E01000841,3.503
E01000842,5.974
E01000843,18.971
E01000844,8.518
E01000845,12.281
E01000846,29.452
E01000847,21.494
E01000848,7.673
E01000849,11.708
E01000850,14.654
E01000851,16.424
E01000853,42.566
E01000855,17.036
E01000856,31.872
E01000857,16.535
E01000858,36.258
E01000859,8.907
E01000860,24.486
E01000861,30.906
E01000862,8.933
E01000863,35.691
E01000866,26.919
E01000867,27.883
E01000868,39.805
E01000869,24
E01000870,28.877
E01000871,16.839
E01000872,34.378
E01000873,10.707
E01000874,9.876
E01000875,27.366
E01000876,29.96
E01000877,13.668
E01000878,10.72
E01000879,6.581
E01000880,6.923
E01000881,15.592
E01000882,5.734
E01000883,10.52
E01000884,7.625
E01000885,7.64
E01000886,13.117
E01000887,14.707
E01000888,16.298
E01000889,35.74
E01000890,52
E01000891,45.468
E01000892,17.198
E01000893,5.701
E01000894,7.553
E01000895,14.624
E01000896,5.44
E01000897,4.25
E01000898,15.274
E01000899,8.541
E01000900,27.732
E01000901,39.891
E01000902,38.816
E01000903,18.892
E01000904,33.102
E01000905,43.27
E01000906,11.644
E01000907,30.366
E01000908,30.277
E01000909,13.738
E01000910,10.559
E01000911,19.944
E01000912,31.912
E01000913,11.421
E01000914,22.498
E01000915,30.418
E01000916,24.79
E01000917,47.877
E01000918,23.524
E01000919,27.195
E01000920,17.863
E01000921,18.164
E01000922,26.567
E01000923,18.179
E01000924,15.602
E01000925,32.029
E01000926,24.137
E01000927,19.439
E01000928,22.474
E01000929,34.655
E01000930,37.556
E01000931,46.652
E01000932,23.42
E01000933,28.337
E01000934,42.595
E01000935,35.936
E01000937,15.182
E01000938,43.496
E01000939,41.454
E01000941,39.324
E01000942,22.208
E01000943,15.974
E01000944,33.014
E01000946,21.102
E01000947,32.466
E01000948,30.881
E01000949,26.009
E01000951,40.542
E01000952,39.434
E01000954,43.102
E01000955,39.97
E01000956,43.756
E01000957,29.335
E01000958,22.969
