lsoa21cd,MSOA21CD,MSOA21NM,Lower.layer.Super.Output.Areas,dep_child_category,Dependent.children.in.household.and.their.age..B...6.categories.,Household.type..6.categories..Code,Household.type..6.categories.,Observation,total_number_of_households,eligible,share_of_eligible
E01011690,E02006852,Leeds 109,Leeds 109C,-8,Does not apply,-8,Does not apply,0,661,64,9.68229954614221
E01011660,E02002369,Leeds 040,Leeds 040D,-8,Does not apply,-8,Does not apply,0,759,196,25.823451910408433
E01011717,E02002358,Leeds 029,Leeds 029C,-8,Does not apply,-8,Does not apply,0,724,135,18.646408839779006
E01011701,E02002330,Leeds 001,Leeds 001C,-8,Does not apply,-8,Does not apply,0,596,92,15.436241610738255
E01011702,E02002330,Leeds 001,Leeds 001D,-8,Does not apply,-8,Does not apply,0,664,124,18.674698795180724
E01011704,E02002331,Leeds 002,Leeds 002C,-8,Does not apply,-8,Does not apply,0,1144,146,12.762237762237762
E01011705,E02002331,Leeds 002,Leeds 002D,-8,Does not apply,-8,Does not apply,0,642,92,14.330218068535826
E01011699,E02002330,Leeds 001,Leeds 001B,-8,Does not apply,-8,Does not apply,0,574,86,14.982578397212544
E01011698,E02002330,Leeds 001,Leeds 001A,-8,Does not apply,-8,Does not apply,0,635,98,15.433070866141732
E01011703,E02002330,Leeds 001,Leeds 001E,-8,Does not apply,-8,Does not apply,0,568,50,8.80281690140845
E01011721,E02002370,Leeds 041,Leeds 041A,-8,Does not apply,-8,Does not apply,0,616,165,26.785714285714285
E01011720,E02002358,Leeds 029,Leeds 029E,-8,Does not apply,-8,Does not apply,0,691,128,18.523878437047756
E01011723,E02002370,Leeds 041,Leeds 041C,-8,Does not apply,-8,Does not apply,0,709,180,25.38787023977433
E01011722,E02002370,Leeds 041,Leeds 041B,-8,Does not apply,-8,Does not apply,0,908,232,25.550660792951543
E01011724,E02002370,Leeds 041,Leeds 041D,-8,Does not apply,-8,Does not apply,0,841,173,20.57074910820452
E01011716,E02002358,Leeds 029,Leeds 029B,-8,Does not apply,-8,Does not apply,0,621,137,22.061191626409016
E01011718,E02002358,Leeds 029,Leeds 029D,-8,Does not apply,-8,Does not apply,0,824,195,23.66504854368932
E01011714,E02002358,Leeds 029,Leeds 029A,-8,Does not apply,-8,Does not apply,0,769,172,22.3667100130039
E01011681,E02002392,Leeds 063,Leeds 063D,-8,Does not apply,-8,Does not apply,0,643,83,12.908242612752721
E01011673,E02002393,Leeds 064,Leeds 064B,-8,Does not apply,-8,Does not apply,0,784,232,29.591836734693878
E01035043,E02002384,Leeds 055,Leeds 055J,-8,Does not apply,-8,Does not apply,0,436,43,9.862385321100918
E01011677,E02002393,Leeds 064,Leeds 064D,-8,Does not apply,-8,Does not apply,0,786,163,20.737913486005088
E01035044,E02002392,Leeds 063,Leeds 063F,-8,Does not apply,-8,Does not apply,0,650,26,4
E01033002,E02002384,Leeds 055,Leeds 055F,-8,Does not apply,-8,Does not apply,0,1015,221,21.773399014778324
E01033003,E02002384,Leeds 055,Leeds 055G,-8,Does not apply,-8,Does not apply,0,1180,280,23.728813559322035
E01033031,E02002393,Leeds 064,Leeds 064E,-8,Does not apply,-8,Does not apply,0,871,119,13.662456946039036
E01033035,E02002393,Leeds 064,Leeds 064F,-8,Does not apply,-8,Does not apply,0,770,237,30.77922077922078
E01011678,E02002392,Leeds 063,Leeds 063B,-8,Does not apply,-8,Does not apply,0,858,57,6.643356643356643
E01011689,E02002360,Leeds 031,Leeds 031C,-8,Does not apply,-8,Does not apply,0,800,112,14
E01011688,E02002360,Leeds 031,Leeds 031B,-8,Does not apply,-8,Does not apply,0,606,138,22.77227722772277
E01011691,E02002360,Leeds 031,Leeds 031D,-8,Does not apply,-8,Does not apply,0,687,92,13.39155749636099
E01011693,E02006852,Leeds 109,Leeds 109E,-8,Does not apply,-8,Does not apply,0,761,76,9.986859395532194
E01011694,E02006852,Leeds 109,Leeds 109F,-8,Does not apply,-8,Does not apply,0,731,106,14.500683994528044
E01032876,E02006852,Leeds 109,Leeds 109G,-8,Does not apply,-8,Does not apply,0,624,141,22.596153846153847
E01011684,E02002348,Leeds 019,Leeds 019C,-8,Does not apply,-8,Does not apply,0,650,127,19.53846153846154
E01011687,E02006852,Leeds 109,Leeds 109B,-8,Does not apply,-8,Does not apply,0,587,117,19.931856899488928
E01011686,E02002362,Leeds 033,Leeds 033E,-8,Does not apply,-8,Does not apply,0,803,120,14.9439601494396
E01011685,E02006852,Leeds 109,Leeds 109A,-8,Does not apply,-8,Does not apply,0,849,140,16.489988221436985
E01011696,E02002335,Leeds 006,Leeds 006B,-8,Does not apply,-8,Does not apply,0,653,109,16.69218989280245
E01011708,E02002335,Leeds 006,Leeds 006D,-8,Does not apply,-8,Does not apply,0,629,112,17.8060413354531
E01011709,E02002334,Leeds 005,Leeds 005B,-8,Does not apply,-8,Does not apply,0,840,169,20.11904761904762
E01011711,E02002334,Leeds 005,Leeds 005D,-8,Does not apply,-8,Does not apply,0,658,78,11.854103343465045
E01011707,E02002334,Leeds 005,Leeds 005A,-8,Does not apply,-8,Does not apply,0,597,74,12.39530988274707
E01011697,E02002331,Leeds 002,Leeds 002A,-8,Does not apply,-8,Does not apply,0,687,114,16.593886462882097
E01011710,E02002334,Leeds 005,Leeds 005C,-8,Does not apply,-8,Does not apply,0,630,111,17.61904761904762
E01011712,E02002334,Leeds 005,Leeds 005E,-8,Does not apply,-8,Does not apply,0,613,108,17.61827079934747
E01011706,E02002335,Leeds 006,Leeds 006C,-8,Does not apply,-8,Does not apply,0,615,105,17.073170731707318
E01011662,E02002369,Leeds 040,Leeds 040E,-8,Does not apply,-8,Does not apply,0,519,139,26.782273603082853
E01011665,E02002379,Leeds 050,Leeds 050C,-8,Does not apply,-8,Does not apply,0,643,116,18.040435458786938
E01011663,E02002379,Leeds 050,Leeds 050A,-8,Does not apply,-8,Does not apply,0,589,223,37.86078098471987
E01011667,E02002379,Leeds 050,Leeds 050D,-8,Does not apply,-8,Does not apply,0,547,195,35.64899451553931
E01011666,E02002390,Leeds 061,Leeds 061D,-8,Does not apply,-8,Does not apply,0,597,81,13.5678391959799
E01011656,E02002364,Leeds 035,Leeds 035A,-8,Does not apply,-8,Does not apply,0,639,165,25.821596244131456
E01011657,E02002364,Leeds 035,Leeds 035B,-8,Does not apply,-8,Does not apply,0,600,113,18.833333333333332
E01011658,E02002369,Leeds 040,Leeds 040C,-8,Does not apply,-8,Does not apply,0,751,192,25.565912117177096
E01011659,E02002364,Leeds 035,Leeds 035C,-8,Does not apply,-8,Does not apply,0,665,139,20.902255639097746
